,Value
0,1986.0
1,1984.0
2,1934.0
3,1861.0
4,1882.0
5,1891.0
6,1888.0
7,1894.0
8,1926.0
9,1915.0
10,1960.0
11,2007.0
12,1971.0
13,1932.0
14,1933.0
15,1920.0
16,1922.0
17,1947.0
18,1977.0
19,1930.0
20,1907.0
21,1905.0
22,1931.0
23,1933.0
24,1890.0
25,1884.0
26,1912.0
27,1917.0
28,1914.0
29,1909.0
30,1906.0
31,1860.0
32,1866.0
33,1863.0
34,1863.0
35,1862.0
36,1822.0
37,1817.0
38,1818.0
39,1818.0
40,1817.0
41,1824.0
42,1837.0
43,1837.0
44,1836.0
45,1836.0
46,1835.0
47,1830.0
48,1835.0
49,1830.0
50,1857.0
51,1871.0
52,1868.0
53,1887.0
54,1893.0
55,1914.0
56,1928.0
57,1870.0
58,1847.0
59,1876.0
60,1891.0
61,1904.0
62,1884.0
63,1870.0
64,1844.0
65,1834.0
66,1896.0
67,1945.0
68,1924.0
69,1973.0
70,1939.0
71,1905.0
72,1870.0
73,1865.0
74,1852.0
75,1834.0
76,1851.0
77,1868.0
78,1925.0
79,1932.0
80,1931.0
81,1930.0
82,1932.0
83,1931.0
84,1929.0
85,1885.0
86,1887.0
87,1843.0
88,1843.0
89,1838.0
90,1848.0
91,1869.0
92,1872.0
93,1871.0
94,1873.0
95,1883.0
96,1870.0
97,1861.0
98,1859.0
99,1830.0
100,1807.0
101,1775.0
102,1808.0
103,1796.0
104,1767.0
105,1767.0
106,1784.0
107,1817.0
108,1824.0
109,1846.0
110,1844.0
111,1804.0
112,1787.0
113,1773.0
114,1801.0
115,1820.0
116,1843.0
117,1852.0
118,1823.0
119,1764.0
120,1755.0
121,1759.0
122,1754.0
123,1758.0
124,1751.0
125,1760.0
126,1752.0
127,1749.0
128,1750.0
129,1752.0
130,1106.0
131,787.0
132,1944.0
133,2115.0
134,2010.0
135,1964.0
136,2096.0
137,2084.0
138,2049.0
139,2004.0
140,2001.0
141,2017.0
142,2024.0
143,2049.0
144,2065.0
145,2083.0
146,2138.0
147,2128.0
148,2121.0
149,2090.0
150,2032.0
151,1988.0
152,2004.0
153,2036.0
154,2042.0
155,2041.0
156,2032.0
157,1985.0
158,1978.0
159,1965.0
160,1975.0
161,1982.0
162,2040.0
163,2015.0
164,2067.0
165,2007.0
166,1982.0
167,1946.0
168,1924.0
169,1924.0
170,1898.0
171,1885.0
172,1884.0
173,1874.0
174,1876.0
175,1873.0
176,1905.0
177,1976.0
178,1962.0
179,1944.0
180,1953.0
181,1955.0
182,1949.0
183,1861.0
184,1869.0
185,1859.0
186,1852.0
187,1875.0
188,1917.0
189,1916.0
190,1916.0
191,1914.0
192,1936.0
193,1938.0
194,1918.0
195,1909.0
196,1906.0
197,1906.0
198,1911.0
199,1878.0
200,1895.0
201,1914.0
202,1891.0
203,1864.0
204,1858.0
205,1807.0
206,1818.0
207,1828.0
208,1829.0
209,1847.0
210,1826.0
211,1833.0
212,1834.0
213,1835.0
214,1833.0
215,1847.0
216,1847.0
217,1809.0
218,1770.0
219,1798.0
220,1800.0
221,1784.0
222,1781.0
223,1789.0
224,1636.0
225,870.0
226,1076.0
227,1907.0
228,2087.0
229,1940.0
230,1782.0
231,1853.0
232,2143.0
233,2025.0
234,1931.0
235,2000.0
236,2007.0
237,2020.0
238,2014.0
239,1987.0
240,2001.0
241,2010.0
242,1966.0
243,1878.0
244,1862.0
245,1814.0
246,1805.0
247,1758.0
248,1721.0
249,1778.0
250,1777.0
251,1771.0
252,1768.0
253,1753.0
254,1724.0
255,1687.0
256,1709.0
257,1717.0
258,1687.0
259,1682.0
260,1691.0
261,1740.0
262,1825.0
263,1838.0
264,1806.0
265,1822.0
266,1837.0
267,1833.0
268,1833.0
269,1853.0
270,1898.0
271,1879.0
272,1918.0
273,1950.0
274,1932.0
275,1921.0
276,1860.0
277,1837.0
278,1828.0
279,1806.0
280,1809.0
281,1786.0
282,1802.0
283,1753.0
284,1789.0
285,1717.0
286,1739.0
287,1713.0
288,1727.0
289,1734.0
290,1772.0
291,1798.0
292,1826.0
293,1799.0
294,1829.0
295,1813.0
296,1778.0
297,1792.0
298,1785.0
299,1756.0
300,1788.0
301,1840.0
302,1906.0
303,1878.0
304,1792.0
305,1755.0
306,1757.0
307,1801.0
308,1800.0
309,1782.0
310,1775.0
311,1753.0
312,1736.0
313,1720.0
314,1733.0
315,1738.0
316,1740.0
317,1742.0
318,1740.0
319,1670.0
320,281.0
321,742.0
322,1954.0
323,2074.0
324,2073.0
325,2025.0
326,2013.0
327,2008.0
328,1973.0
329,1991.0
330,1928.0
331,1947.0
332,1951.0
333,1951.0
334,1937.0
335,1917.0
336,1914.0
337,1887.0
338,1849.0
339,1798.0
340,1838.0
341,1755.0
342,1748.0
343,1788.0
344,1743.0
345,1760.0
346,1813.0
347,1850.0
348,1819.0
349,1831.0
350,1733.0
351,1188.0
352,1494.0
353,1743.0
354,2065.0
355,2044.0
356,2031.0
357,1979.0
358,1957.0
359,1900.0
360,1885.0
361,1916.0
362,1901.0
363,1903.0
364,1930.0
365,1961.0
366,1962.0
367,1979.0
368,1981.0
369,1981.0
370,1981.0
371,1999.0
372,1984.0
373,1987.0
374,1990.0
375,1988.0
376,1983.0
377,1929.0
378,1929.0
379,1907.0
380,1941.0
381,1938.0
382,1925.0
383,1923.0
384,1926.0
385,1926.0
