,unique_id,ds,y_hat
0,2020-01-01,2020-01-02,1914.0
1,2020-01-01,2020-01-03,1914.0
2,2020-01-01,2020-01-04,1914.0
3,2020-01-01,2020-01-05,1914.0
4,2020-01-01,2020-01-06,1914.0
5,2020-01-01,2020-01-07,1914.0
6,2020-01-01,2020-01-08,1914.0
7,2020-01-01,2020-01-09,1914.0
8,2020-01-01,2020-01-10,1914.0
9,2020-01-01,2020-01-11,1914.0
10,2020-01-01,2020-01-12,1914.0
11,2020-01-01,2020-01-13,1914.0
12,2020-01-01,2020-01-14,1914.0
13,2020-01-01,2020-01-15,1914.0
0,2020-01-02,2020-01-03,1852.0
1,2020-01-02,2020-01-04,1852.0
2,2020-01-02,2020-01-05,1852.0
3,2020-01-02,2020-01-06,1852.0
4,2020-01-02,2020-01-07,1852.0
5,2020-01-02,2020-01-08,1852.0
6,2020-01-02,2020-01-09,1852.0
7,2020-01-02,2020-01-10,1852.0
8,2020-01-02,2020-01-11,1852.0
9,2020-01-02,2020-01-12,1852.0
10,2020-01-02,2020-01-13,1852.0
11,2020-01-02,2020-01-14,1852.0
12,2020-01-02,2020-01-15,1852.0
13,2020-01-02,2020-01-16,1852.0
0,2020-01-03,2020-01-04,1818.0
1,2020-01-03,2020-01-05,1818.0
2,2020-01-03,2020-01-06,1818.0
3,2020-01-03,2020-01-07,1818.0
4,2020-01-03,2020-01-08,1818.0
5,2020-01-03,2020-01-09,1818.0
6,2020-01-03,2020-01-10,1818.0
7,2020-01-03,2020-01-11,1818.0
8,2020-01-03,2020-01-12,1818.0
9,2020-01-03,2020-01-13,1818.0
10,2020-01-03,2020-01-14,1818.0
11,2020-01-03,2020-01-15,1818.0
12,2020-01-03,2020-01-16,1818.0
13,2020-01-03,2020-01-17,1818.0
0,2020-01-04,2020-01-05,1840.0
1,2020-01-04,2020-01-06,1840.0
2,2020-01-04,2020-01-07,1840.0
3,2020-01-04,2020-01-08,1840.0
4,2020-01-04,2020-01-09,1840.0
5,2020-01-04,2020-01-10,1840.0
6,2020-01-04,2020-01-11,1840.0
7,2020-01-04,2020-01-12,1840.0
8,2020-01-04,2020-01-13,1840.0
9,2020-01-04,2020-01-14,1840.0
10,2020-01-04,2020-01-15,1840.0
11,2020-01-04,2020-01-16,1840.0
12,2020-01-04,2020-01-17,1840.0
13,2020-01-04,2020-01-18,1840.0
0,2020-01-05,2020-01-06,1918.0
1,2020-01-05,2020-01-07,1918.0
2,2020-01-05,2020-01-08,1918.0
3,2020-01-05,2020-01-09,1918.0
4,2020-01-05,2020-01-10,1918.0
5,2020-01-05,2020-01-11,1918.0
6,2020-01-05,2020-01-12,1918.0
7,2020-01-05,2020-01-13,1918.0
8,2020-01-05,2020-01-14,1918.0
9,2020-01-05,2020-01-15,1918.0
10,2020-01-05,2020-01-16,1918.0
11,2020-01-05,2020-01-17,1918.0
12,2020-01-05,2020-01-18,1918.0
13,2020-01-05,2020-01-19,1918.0
0,2020-01-06,2020-01-07,1955.0
1,2020-01-06,2020-01-08,1955.0
2,2020-01-06,2020-01-09,1955.0
3,2020-01-06,2020-01-10,1955.0
4,2020-01-06,2020-01-11,1955.0
5,2020-01-06,2020-01-12,1955.0
6,2020-01-06,2020-01-13,1955.0
7,2020-01-06,2020-01-14,1955.0
8,2020-01-06,2020-01-15,1955.0
9,2020-01-06,2020-01-16,1955.0
10,2020-01-06,2020-01-17,1955.0
11,2020-01-06,2020-01-18,1955.0
12,2020-01-06,2020-01-19,1955.0
13,2020-01-06,2020-01-20,1955.0
0,2020-01-07,2020-01-08,1662.0
1,2020-01-07,2020-01-09,1662.0
2,2020-01-07,2020-01-10,1662.0
3,2020-01-07,2020-01-11,1662.0
4,2020-01-07,2020-01-12,1662.0
5,2020-01-07,2020-01-13,1662.0
6,2020-01-07,2020-01-14,1662.0
7,2020-01-07,2020-01-15,1662.0
8,2020-01-07,2020-01-16,1662.0
9,2020-01-07,2020-01-17,1662.0
10,2020-01-07,2020-01-18,1662.0
11,2020-01-07,2020-01-19,1662.0
12,2020-01-07,2020-01-20,1662.0
13,2020-01-07,2020-01-21,1662.0
0,2020-01-08,2020-01-09,1535.0
1,2020-01-08,2020-01-10,1535.0
2,2020-01-08,2020-01-11,1535.0
3,2020-01-08,2020-01-12,1535.0
4,2020-01-08,2020-01-13,1535.0
5,2020-01-08,2020-01-14,1535.0
6,2020-01-08,2020-01-15,1535.0
7,2020-01-08,2020-01-16,1535.0
8,2020-01-08,2020-01-17,1535.0
9,2020-01-08,2020-01-18,1535.0
10,2020-01-08,2020-01-19,1535.0
11,2020-01-08,2020-01-20,1535.0
12,2020-01-08,2020-01-21,1535.0
13,2020-01-08,2020-01-22,1535.0
0,2020-01-09,2020-01-10,1529.0
1,2020-01-09,2020-01-11,1529.0
2,2020-01-09,2020-01-12,1529.0
3,2020-01-09,2020-01-13,1529.0
4,2020-01-09,2020-01-14,1529.0
5,2020-01-09,2020-01-15,1529.0
6,2020-01-09,2020-01-16,1529.0
7,2020-01-09,2020-01-17,1529.0
8,2020-01-09,2020-01-18,1529.0
9,2020-01-09,2020-01-19,1529.0
10,2020-01-09,2020-01-20,1529.0
11,2020-01-09,2020-01-21,1529.0
12,2020-01-09,2020-01-22,1529.0
13,2020-01-09,2020-01-23,1529.0
0,2020-01-10,2020-01-11,1584.0
1,2020-01-10,2020-01-12,1584.0
2,2020-01-10,2020-01-13,1584.0
3,2020-01-10,2020-01-14,1584.0
4,2020-01-10,2020-01-15,1584.0
5,2020-01-10,2020-01-16,1584.0
6,2020-01-10,2020-01-17,1584.0
7,2020-01-10,2020-01-18,1584.0
8,2020-01-10,2020-01-19,1584.0
9,2020-01-10,2020-01-20,1584.0
10,2020-01-10,2020-01-21,1584.0
11,2020-01-10,2020-01-22,1584.0
12,2020-01-10,2020-01-23,1584.0
13,2020-01-10,2020-01-24,1584.0
0,2020-01-11,2020-01-12,1634.0
1,2020-01-11,2020-01-13,1634.0
2,2020-01-11,2020-01-14,1634.0
3,2020-01-11,2020-01-15,1634.0
4,2020-01-11,2020-01-16,1634.0
5,2020-01-11,2020-01-17,1634.0
6,2020-01-11,2020-01-18,1634.0
7,2020-01-11,2020-01-19,1634.0
8,2020-01-11,2020-01-20,1634.0
9,2020-01-11,2020-01-21,1634.0
10,2020-01-11,2020-01-22,1634.0
11,2020-01-11,2020-01-23,1634.0
12,2020-01-11,2020-01-24,1634.0
13,2020-01-11,2020-01-25,1634.0
0,2020-01-12,2020-01-13,1532.0
1,2020-01-12,2020-01-14,1532.0
